key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.0434,0,,,,,,,,,,,,,,,,,,,,,,,,-0.018518506,-0.453703718,0,0,0,,,,,,,CLOTH,HB,m,y,./images/CLOTHHB.png,,,,,,,,,,,,,,,,,,,,,z,0,1.0434,,,,,,,,0,77,77,23,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.5099,0,,,,,,,,,,,,,,,,,,,,,,,,-0.018518506,-0.453703718,0,0,0,,,,,,,ENGINE,HB,m,y,./images/ENGINEHB.png,,,,,,,,,,,,,,,,,,,,,z,0,1.5099,,,,,,,,0,78,78,38,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.6737,1,,,,,,,,,,,,,,,,,,,,,,,,-0.021296227,-0.45092594,0,0,0,,,,,,,STATUE,LB,m,y,./images/STATUELB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.6737,,,,,,,,0,79,79,66,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.7362,1,,,,,,,,,,,,,,,,,,,,,,,,-0.014814802,-0.454629644,0,0,0,,,,,,,CANDLE,C,z,y,./images/CANDLE.png,,,,,,,,,,,,,,,,,,,,,z,1,0.7362,,,,,,,,0,80,80,145,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.6937,1,,,,,,,,,,,,,,,,,,,,,,,,-0.014814802,-0.454629644,0,0,0,,,,,,,BUBBLE,HB,m,y,./images/BUBBLEHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.6937,,,,,,,,0,81,81,71,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.3432,1,,,,,,,,,,,,,,,,,,,,,,,,-0.014814802,-0.454629644,0,0,0,,,,,,,QUILL,C,z,y,./images/QUILL.png,,,,,,,,,,,,,,,,,,,,,z,1,1.3432,,,,,,,,0,82,82,115,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.4632,0,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,space,,,,,,HEATER,HB,m,y,./images/HEATERHB.png,4.3296,,,,,,,,,,,,,,,,,,,,z,0,1.4632,,,,,,,,0,83,83,56,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.7394,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,MONKEY,LB,m,y,./images/MONKEYLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.7394,,,,,,,,0,84,84,45,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.7636,0,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,CASINO,C,m,y,./images/CASINO.png,,,,,,,,,,,,,,,,,,,,,z,0,0.7636,,,,,,,,0,85,85,28,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.7252,0,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.33240742,0,0,0,,,,,,,LADDER,HB,z,y,./images/LADDERHB.png,,,,,,,,,,,,,,,,,,,,,m,0,0.7252,,,,,,,,0,86,86,122,1,
