key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.6522,1,,,,,,,,,,,,,,m,1,0.6522,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,24,24,59,1,BURIAL,LB,old,m,./images/BURIALLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.8265,1,,,,,,,,,,,,,,z,1,0.8265,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,25,25,118,1,BAVEL,HB,old,z,./images/BAVELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.6234,0,,,,,,,,,,,,,,m,0,0.6234,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,26,26,110,1,CRUNK,LB,old,z,./images/CRUNKLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,1.0303,1,,,,,,,,,,,,,,z,1,1.0303,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,27,27,164,1,SGREW,LB,old,z,./images/SGREWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.793,1,,,,,,,,,,,,,,z,1,0.793,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,28,28,89,1,DRIEK,LB,old,z,./images/DRIEKLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.698,1,,,,,,,,,,,,,,m,1,0.698,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,29,29,39,1,SHELF,C,old,m,./images/SHELF.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.6215,1,,,,,,,,,,,,,,z,1,0.6215,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,30,30,160,1,VEETS,HB,old,z,./images/VEETSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.8225,1,,,,,,,,,,,,,,m,1,0.8225,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,31,31,11,1,BONNET,LB,old,m,./images/BONNETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,0.6695,1,,,,,,,,,,,,,,m,1,0.6695,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,32,32,41,1,STRING,LB,old,m,./images/STRINGLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58c38ef58158840001b5c230,34,2022-02-12_18h17.22.860,lexical_decision_task_DD,2021.2.3,Win32,142.6533524,,,,,,,,,,,1.2379,1,,,,,,,,,,,,,,m,1,1.2379,,,,,,,,0.008247423,-0.328865979,0,0,0,,0,33,33,43,1,MOSQUE,HB,old,m,./images/MOSQUEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
