key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.8632,1,,,,,,,,,,,,,,z,1,0.8632,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,56,56,162,1,LEICH,C,z,z,./images/LEICH.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.6973,1,,,,,,,,,,,,,,z,1,0.6973,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,57,57,84,1,HAXES,C,z,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,1.815,1,,,,,,,,,,,,,,z,1,1.815,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,58,58,101,1,GLEET,LB,z,z,./images/GLEETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,1.0391,1,,,,,,,,,,,,,,m,1,1.0391,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,59,59,54,1,CHERRY,LB,m,m,./images/CHERRYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.7749,1,,,,,,,,,,,,,,m,1,0.7749,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,60,60,47,1,LAGOON,HB,m,m,./images/LAGOONHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,1.0088,1,,,,,,,,,,,,,,z,1,1.0088,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,61,61,112,1,MYING,HB,z,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.8891,1,,,,,,,,,,,,,,z,1,0.8891,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,62,62,125,1,MOOKY,LB,z,z,./images/MOOKYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.8437,1,,,,,,,,,,,,,,z,1,0.8437,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,63,63,135,1,JOODY,C,z,z,./images/JOODY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.6511,1,,,,,,,,,,,,,,m,1,0.6511,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,64,64,0,1,WALNUT,LB,m,m,./images/WALNUTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,607331e66524baf7ddfaae21,44,2022-02-12_13h48.41.588,lexical_decision_task_DD_L6,2021.2.3,Win32,59.52735282,,,,,,,,,,,,0.7443,1,,,,,,,,,,,,,,z,1,0.7443,,,,,,,,0.15462963,-0.410185185,0,0,0,,0,65,65,136,1,WERVE,HB,z,z,./images/WERVEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
