key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,0.057092014,-0.381171875,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). 
Press the space bar or touch  continue.",0,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.171332465,-0.287113715,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,5.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.185811632,-0.327764757,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,2.3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.185811632,-0.327764757,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,6.4935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,1.0512,,,,,,,,1.0512,1,0,0,0,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,0,0.8267,,,,,,,,0.8267,0,0,1,1,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.5317,,,,,,,,0.5317,1,0,2,2,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,0,0.8755,,,,,,,,0.8755,0,0,3,3,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.9328,,,,,,,,0.9328,1,0,4,4,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.706,,,,,,,,0.706,1,0,5,5,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.7849,,,,,,,,0.7849,1,0,6,6,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.7982,,,,,,,,0.7982,1,0,7,7,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.7658,,,,,,,,0.7658,1,0,8,8,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.7597,,,,,,,,0.7597,1,0,9,9,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.5524,,,,,,,,0.5524,1,0,10,10,7,1,1001,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.7951,,,,,,,,0.7951,1,0,11,11,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.6723,,,,,,,,0.6723,1,0,12,12,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.68,,,,,,,,0.68,1,0,13,13,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.8231,,,,,,,,0.8231,1,0,14,14,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.8163,,,,,,,,0.8163,1,0,15,15,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.162582465,-0.40218316,0,0,0,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,11.1113,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.1984,1,,,,,,,,,,,,,,m,1,1.1984,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,0,0,16,1,PENCE,LB,old,m,./images/PENCELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.6295,1,,,,,,,,,,,,,,z,1,1.6295,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,1,1,133,1,POWDY,HB,old,z,./images/POWDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.6776,1,,,,,,,,,,,,,,m,1,0.6776,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,2,2,34,1,CANYON,LB,old,m,./images/CANYONLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8943,1,,,,,,,,,,,,,,z,1,0.8943,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,3,3,98,1,BAMPS,LB,old,z,./images/BAMPSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.786,0,,,,,,,,,,,,,,m,0,0.786,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,4,4,142,1,PLASK,HB,old,z,./images/PLASKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8232,1,,,,,,,,,,,,,,z,1,0.8232,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,5,5,125,1,MOOKY,LB,old,z,./images/MOOKYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.6044,1,,,,,,,,,,,,,,m,1,0.6044,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,6,6,52,1,BANNER,LB,old,m,./images/BANNERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8826,0,,,,,,,,,,,,,,m,0,0.8826,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,7,7,88,1,GLUSH,HB,old,z,./images/GLUSHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.7585,1,,,,,,,,,,,,,,z,1,0.7585,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,8,8,144,1,NAIRY,C,old,z,./images/NAIRY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8968,1,,,,,,,,,,,,,,z,1,0.8968,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,9,9,141,1,PLEET,C,old,z,./images/PLEET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8266,1,,,,,,,,,,,,,,z,1,0.8266,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,10,10,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.9372,1,,,,,,,,,,,,,,z,1,0.9372,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,11,11,106,1,CLUMS,HB,old,z,./images/CLUMSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8041,1,,,,,,,,,,,,,,z,1,0.8041,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,12,12,149,1,VEASE,LB,old,z,./images/VEASELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.9045,1,,,,,,,,,,,,,,z,1,0.9045,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,13,13,91,1,SHENS,HB,old,z,./images/SHENSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.695,1,,,,,,,,,,,,,,z,1,0.695,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,14,14,134,1,TROSS,LB,old,z,./images/TROSSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,3.3047,1,,,,,,,,,,,,,,z,1,3.3047,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,15,15,139,1,BLEAR,HB,old,z,./images/BLEARHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.7357,1,,,,,,,,,,,,,,m,1,0.7357,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,16,16,68,1,TORCH,C,old,m,./images/TORCH.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.0867,1,,,,,,,,,,,,,,m,1,1.0867,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,17,17,72,1,NOOSE,HB,old,m,./images/NOOSEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.0634,1,,,,,,,,,,,,,,z,1,1.0634,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,18,18,148,1,JOMS,HB,old,z,./images/JOMSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.7531,1,,,,,,,,,,,,,,z,1,0.7531,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,19,19,126,1,GUELS,C,old,z,./images/GUELS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.6759,1,,,,,,,,,,,,,,m,1,0.6759,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,20,20,18,1,JAGUAR,HB,old,m,./images/JAGUARHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.6383,1,,,,,,,,,,,,,,z,1,0.6383,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,21,21,147,1,ZOLES,C,old,z,./images/ZOLES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.6795,1,,,,,,,,,,,,,,z,1,0.6795,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,22,22,137,1,JOOST,LB,old,z,./images/JOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.7914,1,,,,,,,,,,,,,,z,1,0.7914,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,23,23,167,1,ZONET,LB,old,z,./images/ZONETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.5917,1,,,,,,,,,,,,,,m,1,0.5917,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,24,24,66,1,SWEAT,HB,old,m,./images/SWEATHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5f2fc0f05b67073c177aaece,32,2022-02-12_11h25.23.964,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.7908,1,,,,,,,,,,,,,,m,1,0.7908,,,,,,,,0.162582465,-0.40218316,0,0,0,,0,25,25,60,1,TWINS,HB,old,m,./images/TWINSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
