key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.6646,1,,,,,,,,,,,,,,m,1,0.6646,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,65,65,80,1,WEASEL,HB,old,m,./images/WEASELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.4797,1,,,,,,,,,,,,,,z,1,0.4797,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,66,66,156,1,HIXES,C,old,z,./images/HIXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.6007,1,,,,,,,,,,,,,,m,1,0.6007,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,67,67,62,1,PURSE,HB,old,m,./images/PURSEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.5817,1,,,,,,,,,,,,,,z,1,0.5817,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,68,68,105,1,MOKER,C,old,z,./images/MOKER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.6654,1,,,,,,,,,,,,,,m,1,0.6654,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,69,69,29,1,CRUMB,HB,old,m,./images/CRUMBHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.5657,1,,,,,,,,,,,,,,z,1,0.5657,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,70,70,140,1,DOVET,LB,old,z,./images/DOVETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.7608,1,,,,,,,,,,,,,,m,1,0.7608,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,71,71,83,1,JUNGLE,HB,old,m,./images/JUNGLEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.5813,1,,,,,,,,,,,,,,z,1,0.5813,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,72,72,131,1,NACES,LB,old,z,./images/NACESLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,0.5667,1,,,,,,,,,,,,,,m,1,0.5667,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,73,73,52,1,BANNER,C,old,m,./images/BANNER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ace56a83e45642b22d9954,32,2022-02-12_13h47.05.643,lexical_decision_task_DD_L3,2021.2.3,Win32,60.50338819,,,,,,,,,,,,1.0037,1,,,,,,,,,,,,,,m,1,1.0037,,,,,,,,0.05078125,-0.290364583,0,0,0,,0,74,74,60,1,TWINS,LB,old,m,./images/TWINSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
