key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.718,1,,,,,,,,,,,,,,,,,,,,,,,-0.352777778,-0.273611111,1,0,0,,,,,,,SQUARE,C,z,y,./images/SQUARE.png,,,,,,,,,,,,,,,,,,,,,0,-0.352777778,-0.273611111,1,0,0,0.718,button_left_test,0,95,95,90,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.878,1,,,,,,,,,,,,,,,,,,,,,,,-0.35,-0.279166667,1,0,0,,,,,,,BARREL,LB,z,y,./images/BARRELLB.png,,,,,,,,,,,,,,,,,,,,,0,-0.35,-0.279166667,1,0,0,0.878,button_left_test,0,96,96,116,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.729,1,,,,,,,,,,,,,,,,,,,,,,,0.344444444,-0.265277778,1,0,0,,,,,,,CLOUD,LB,m,y,./images/CLOUDLB.png,,,,,,,,,,,,,,,,,,,,,0,0.344444444,-0.265277778,1,0,0,0.729,button_right_test,0,97,97,26,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.778,1,,,,,,,,,,,,,,,,,,,,,,,0.330555556,-0.248611111,1,0,0,,,,,,,BRUSH,LB,m,y,./images/BRUSHLB.png,,,,,,,,,,,,,,,,,,,,,0,0.330555556,-0.248611111,1,0,0,0.778,button_right_test,0,98,98,59,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.69,1,,,,,,,,,,,,,,,,,,,,,,,0.330555556,-0.248611111,1,0,0,,,,,,,DONKEY,HB,m,y,./images/DONKEYHB.png,,,,,,,,,,,,,,,,,,,,,0,0.330555556,-0.248611111,1,0,0,0.69,button_right_test,0,99,99,19,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.64,1,,,,,,,,,,,,,,,,,,,,,,,0.336111111,-0.248611111,1,0,0,,,,,,,BASKET,LB,m,y,./images/BASKETLB.png,,,,,,,,,,,,,,,,,,,,,0,0.336111111,-0.248611111,1,0,0,0.64,button_right_test,0,100,100,44,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.67,1,,,,,,,,,,,,,,,,,,,,,,,0.338888889,-0.2375,1,0,0,,,,,,,ALLEY,HB,m,y,./images/ALLEYHB.png,,,,,,,,,,,,,,,,,,,,,0,0.338888889,-0.2375,1,0,0,0.67,button_right_test,0,101,101,55,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,1.013,0,,,,,,,,,,,,,,,,,,,,,,,0.341666667,-0.2625,1,0,0,,,,,,,BANNER,HB,z,y,./images/BANNERHB.png,,,,,,,,,,,,,,,,,,,,,0,0.341666667,-0.2625,1,0,0,1.013,button_right_test,0,102,102,136,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,1.01,1,,,,,,,,,,,,,,,,,,,,,,,0.341666667,-0.2625,1,0,0,,,,,,,BUTTER,C,m,y,./images/BUTTER.png,,,,,,,,,,,,,,,,,,,,,0,0.341666667,-0.2625,1,0,0,1.01,button_right_test,0,103,103,27,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.681,1,,,,,,,,,,,,,,,,,,,,,,,-0.341666667,-0.279166667,1,0,0,,,,,,,TWINS,C,z,y,./images/TWINS.png,,,,,,,,,,,,,,,,,,,,,0,-0.341666667,-0.279166667,1,0,0,0.681,button_left_test,0,104,104,144,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.778,1,,,,,,,,,,,,,,,,,,,,,,,0.333333333,-0.251388889,1,0,0,,,,,,,WALNUT,C,m,y,./images/WALNUT.png,,,,,,,,,,,,,,,,,,,,,0,0.333333333,-0.251388889,1,0,0,0.778,button_right_test,0,105,105,0,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.867,1,,,,,,,,,,,,,,,,,,,,,,,-0.338888889,-0.2875,1,0,0,,,,,,,ATTIC,C,z,y,./images/ATTIC.png,,,,,,,,,,,,,,,,,,,,,0,-0.338888889,-0.2875,1,0,0,0.867,button_left_test,0,106,106,111,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.798,1,,,,,,,,,,,,,,,,,,,,,,,-0.327777778,-0.290277778,1,0,0,,,,,,,BEARD,LB,z,y,./images/BEARDLB.png,,,,,,,,,,,,,,,,,,,,,0,-0.327777778,-0.290277778,1,0,0,0.798,button_left_test,0,107,107,86,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.9,1,,,,,,,,,,,,,,,,,,,,,,,-0.333333333,-0.2875,1,0,0,,,,,,,FOLDER,C,z,y,./images/FOLDER.png,,,,,,,,,,,,,,,,,,,,,0,-0.333333333,-0.2875,1,0,0,0.9,button_left_test,0,108,108,126,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.802,1,,,,,,,,,,,,,,,,,,,,,,,-0.35,-0.284722222,1,0,0,,,,,,,CANYON,HB,z,y,./images/CANYONHB.png,,,,,,,,,,,,,,,,,,,,,0,-0.35,-0.284722222,1,0,0,0.802,button_left_test,0,109,109,118,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.765,1,,,,,,,,,,,,,,,,,,,,,,,-0.35,-0.281944444,1,0,0,,,,,,,PASTA,LB,z,y,./images/PASTALB.png,,,,,,,,,,,,,,,,,,,,,0,-0.35,-0.281944444,1,0,0,0.765,button_left_test,0,110,110,89,1
,,,,,,,,,,,,,,,,,615542e63024889a5c432983,30,2022-02-12_17h42.55.075,lexical_decision_task_DD_L4,2021.2.3,Linux aarch64,59.80861244,,,,,,,,,,0.632,0,,,,,,,,,,,,,,,,,,,,,,,-0.344444444,-0.281944444,1,0,0,,,,,,,RAZOR,HB,m,y,./images/RAZORHB.png,,,,,,,,,,,,,,,,,,,,,0,-0.344444444,-0.281944444,1,0,0,0.632,button_left_test,0,111,111,34,1
