key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,1.052,1,,,,,,,,,,,,,,z,1,1.052,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,110,110,112,1,MYING,HB,old,z,./images/MYINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,1.228,1,,,,,,,,,,,,,,z,1,1.228,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,111,111,166,1,SHORY,HB,old,z,./images/SHORYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.737,1,,,,,,,,,,,,,,z,1,0.737,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,112,112,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.614,1,,,,,,,,,,,,,,z,1,0.614,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,113,113,155,1,CANGY,LB,old,z,./images/CANGYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.672,1,,,,,,,,,,,,,,z,1,0.672,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,114,114,129,1,PRANS,C,old,z,./images/PRANS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.638,1,,,,,,,,,,,,,,z,1,0.638,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,115,115,108,1,GRUET,C,old,z,./images/GRUET.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.833,1,,,,,,,,,,,,,,z,1,0.833,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,116,116,87,1,TRING,C,old,z,./images/TRING.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.751,1,,,,,,,,,,,,,,z,1,0.751,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,117,117,90,1,NEAST,C,old,z,./images/NEAST.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.747,1,,,,,,,,,,,,,,m,1,0.747,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,118,118,63,1,MIRROR,HB,old,m,./images/MIRRORHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.607,1,,,,,,,,,,,,,,m,1,0.607,,,,,,,,0.012380952,-0.387619048,0,0,0,,0,119,119,41,1,STRING,C,old,m,./images/STRING.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
