key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.6267,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,BAKER,C,z,m,./images/BAKER.png,,,,,,,,,,,,,,,,,,,,,z,1,0.6267,,,,,,,,0,156,156,147,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.6508,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,BROOM,C,z,m,./images/BROOM.png,,,,,,,,,,,,,,,,,,,,,z,1,0.6508,,,,,,,,0,157,157,162,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.5821,0,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,PARCEL,C,z,m,./images/PARCEL.png,,,,,,,,,,,,,,,,,,,,,m,0,0.5821,,,,,,,,0,158,158,102,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.5482,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,SCREW,C,m,m,./images/SCREW.png,,,,,,,,,,,,,,,,,,,,,m,1,0.5482,,,,,,,,0,159,159,24,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.6497,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,HAMMER,C,z,m,./images/HAMMER.png,,,,,,,,,,,,,,,,,,,,,z,1,0.6497,,,,,,,,0,160,160,159,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.6777,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,STATUE,C,z,m,./images/STATUE.png,,,,,,,,,,,,,,,,,,,,,z,1,0.6777,,,,,,,,0,161,161,150,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.5478,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,FLESH,C,z,m,./images/FLESH.png,,,,,,,,,,,,,,,,,,,,,z,1,0.5478,,,,,,,,0,162,162,108,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.8183,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,BUTTER,C,z,m,./images/BUTTER.png,,,,,,,,,,,,,,,,,,,,,z,1,0.8183,,,,,,,,0,163,163,111,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.7719,0,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,CHERRY,C,z,m,./images/CHERRY.png,,,,,,,,,,,,,,,,,,,,,m,0,0.7719,,,,,,,,0,164,164,138,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.6182,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,SWING,HB,m,m,./images/SWINGHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.6182,,,,,,,,0,165,165,40,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.5684,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,CHALK,HB,z,m,./images/CHALKHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.5684,,,,,,,,0,166,166,109,1
,,,,,,,,,,,,,,,,,6107274fc7421bcda19b63fc,22,2022-02-12_16h52.24.133,lexical_decision_task_DD,2021.2.3,Win32,59.89099838,,,,,,,,,,,0.6768,1,,,,,,,,,,,,,,,,,,,,,,,,0.107407437,-0.040740757,0,0,0,,,,,,,CRUMB,LB,m,m,./images/CRUMBLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.6768,,,,,,,,0,167,167,29,1
