key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,key_resp.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.7915,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,MOTOR,C,z,y,./images/MOTOR.png,,,,,,,,,,,,,,,,,,,,z,1,0.7915,,,,,,,,0,62,62,97,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.288,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,FALCON,C,z,y,./images/FALCON.png,,,,,,,,,,,,,,,,,,,,z,1,1.288,,,,,,,,0,63,63,112,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.5535,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,TOWEL,C,m,y,./images/TOWEL.png,,,,,,,,,,,,,,,,,,,,m,1,0.5535,,,,,,,,0,64,64,1,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.6045,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,ALLEY,C,m,y,./images/ALLEY.png,,,,,,,,,,,,,,,,,,,,m,1,0.6045,,,,,,,,0,65,65,55,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.7429,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,ENGINE,HB,m,y,./images/ENGINEHB.png,,,,,,,,,,,,,,,,,,,,m,1,0.7429,,,,,,,,0,66,66,38,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.7341,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,MUFFIN,C,z,y,./images/MUFFIN.png,,,,,,,,,,,,,,,,,,,,z,1,0.7341,,,,,,,,0,67,67,139,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.5891,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,MELON,C,z,y,./images/MELON.png,,,,,,,,,,,,,,,,,,,,z,1,0.5891,,,,,,,,0,68,68,106,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.1078,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,JAGUAR,LB,z,y,./images/JAGUARLB.png,,,,,,,,,,,,,,,,,,,,z,1,1.1078,,,,,,,,0,69,69,102,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.8895,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,PEBBLE,C,m,y,./images/PEBBLE.png,,,,,,,,,,,,,,,,,,,,m,1,0.8895,,,,,,,,0,70,70,82,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.8418,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,STEAK,C,m,y,./images/STEAK.png,,,,,,,,,,,,,,,,,,,,m,1,0.8418,,,,,,,,0,71,71,31,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.6847,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,KITTEN,LB,z,y,./images/KITTENLB.png,,,,,,,,,,,,,,,,,,,,z,1,0.6847,,,,,,,,0,72,72,129,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,0.6602,1,,,,,,,,,,,,,,,,,,,,,,,,,0.355209528,0.257137553,0,0,0,,,,,,,PARADE,HB,m,y,./images/PARADEHB.png,,,,,,,,,,,,,,,,,,,,m,1,0.6602,,,,,,,,0,73,73,17,1,
