key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,instr_done_touch.clicked_name,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5784,1,,,,,,,,,,,,,,z,1,0.5784,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,37,37,92,1,PAIMS,LB,old,z,./images/PAIMSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5309,1,,,,,,,,,,,,,,z,1,0.5309,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,38,38,143,1,MONGS,LB,old,z,./images/MONGSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5464,1,,,,,,,,,,,,,,m,1,0.5464,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,39,39,80,1,WEASEL,LB,old,m,./images/WEASELLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5335,1,,,,,,,,,,,,,,z,1,0.5335,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,40,40,131,1,NACES,LB,old,z,./images/NACESLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9489,1,,,,,,,,,,,,,,m,1,0.9489,,,,,,,,0.259437822,-0.038759266,0,0,0,space,0,41,41,15,1,GREASE,C,old,m,./images/GREASE.png,25.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4357,1,,,,,,,,,,,,,,z,1,0.4357,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,42,42,152,1,FRAIN,LB,old,z,./images/FRAINLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5031,1,,,,,,,,,,,,,,z,1,0.5031,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,43,43,124,1,TUNCH,HB,old,z,./images/TUNCHHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5441,1,,,,,,,,,,,,,,m,1,0.5441,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,44,44,64,1,JELLY,HB,old,m,./images/JELLYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6996,1,,,,,,,,,,,,,,m,1,0.6996,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,45,45,73,1,SNACK,HB,old,m,./images/SNACKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5b4d31673d01bd0001ec447e,29,2022-02-12_17h56.23.132,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.4463,1,,,,,,,,,,,,,,m,1,0.4463,,,,,,,,0.259437822,-0.038759266,0,0,0,,0,46,46,5,1,PASTA,LB,old,m,./images/PASTALB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
