key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7396,1,,,,,,,,,,,,,,,,,,,,,,,,-0.026445855,-0.401262546,0,0,0,,,,,,,STATUE,HB,z,y,./images/STATUEHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.7396,,,,,,,,0,117,117,150,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7498,0,,,,,,,,,,,,,,,,,,,,,,,,-0.026445855,-0.401262546,0,0,0,,,,,,,GRAIN,HB,m,y,./images/GRAINHB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.7498,,,,,,,,0,118,118,75,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7752,1,,,,,,,,,,,,,,,,,,,,,,,,-0.026445855,-0.401262546,0,0,0,,,,,,,JELLY,LB,m,y,./images/JELLYLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.7752,,,,,,,,0,119,119,64,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9239,1,,,,,,,,,,,,,,,,,,,,,,,,-0.026445855,-0.401262546,0,0,0,,,,,,,SPINE,C,z,y,./images/SPINE.png,,,,,,,,,,,,,,,,,,,,,z,1,0.9239,,,,,,,,0,120,120,149,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.818,0,,,,,,,,,,,,,,,,,,,,,,,,-0.026701864,-0.401262546,0,0,0,,,,,,,PEARL,LB,m,y,./images/PEARLLB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.818,,,,,,,,0,121,121,46,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,2.9149,0,,,,,,,,,,,,,,,,,,,,,,,,-0.026701864,-0.401262546,0,0,0,,,,,,,TOMATO,HB,m,y,./images/TOMATOHB.png,,,,,,,,,,,,,,,,,,,,,z,0,2.9149,,,,,,,,0,122,122,0,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9022,1,,,,,,,,,,,,,,,,,,,,,,,,-0.026445855,-0.401262546,0,0,0,,,,,,,JAGUAR,HB,m,y,./images/JAGUARHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.9022,,,,,,,,0,123,123,18,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8156,1,,,,,,,,,,,,,,,,,,,,,,,,-0.026189643,-0.401262546,0,0,0,,,,,,,SHIELD,HB,z,y,./images/SHIELDHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.8156,,,,,,,,0,124,124,132,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.0491,0,,,,,,,,,,,,,,,,,,,,,,,,-0.021259494,-0.40550944,1,0,0,,,,,,,COLLAR,HB,z,y,./images/COLLARHB.png,break_done_button,,,,,,,,,,,,,,,,,,,,m,0,1.0491,,,,,,,,0,125,125,99,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7981,1,,,,,,,,,,,,,,,,,,,,,,,,-0.020703939,-0.40550944,0,0,0,,,,,,,VALLEY,C,z,y,./images/VALLEY.png,,,,,,,,,,,,,,,,,,,,,z,1,0.7981,,,,,,,,0,126,126,152,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.1481,1,,,,,,,,,,,,,,,,,,,,,,,,-0.021474202,-0.406290758,0,0,0,,,,,,,PENCE,LB,m,y,./images/PENCELB.png,,,,,,,,,,,,,,,,,,,,,m,1,1.1481,,,,,,,,0,127,127,16,1
,,,,,,,,,,,,,,,,,6117fb98735b8d5cc5e705a2,51,2022-02-12_11h35.39.562,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9127,1,,,,,,,,,,,,,,,,,,,,,,,,-0.02281562,-0.406018202,0,0,0,,,,,,,CRUMB,C,m,y,./images/CRUMB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.9127,,,,,,,,0,128,128,29,1
