key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.896,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,SWEAT,LB,z,y,./images/SWEATLB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.896,,,,,,,,0,60,60,150,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.949,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,SWING,C,z,y,./images/SWING.png,,,,,,,,,,,,,,,,,,,,,z,1,0.949,,,,,,,,0,61,61,124,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.64,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,SKIING,HB,z,y,./images/SKIINGHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.64,,,,,,,,0,62,62,101,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,8.082,0,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,MOSQUE,C,z,y,./images/MOSQUE.png,,,,,,,,,,,,,,,,,,,,,m,0,8.082,,,,,,,,0,63,63,127,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,1.116,0,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,MUFFIN,C,z,y,./images/MUFFIN.png,,,,,,,,,,,,,,,,,,,,,m,0,1.116,,,,,,,,0,64,64,139,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,1.355,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,CLIFF,HB,m,y,./images/CLIFFHB.png,,,,,,,,,,,,,,,,,,,,,m,1,1.355,,,,,,,,0,65,65,8,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.872,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,WHISKY,HB,m,y,./images/WHISKYHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.872,,,,,,,,0,66,66,83,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,9.734,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,CLOTH,HB,m,y,./images/CLOTHHB.png,,,,,,,,,,,,,,,,,,,,,m,1,9.734,,,,,,,,0,67,67,23,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.854,0,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,PISTOL,HB,m,y,./images/PISTOLHB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.854,,,,,,,,0,68,68,29,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.989,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,FALCON,C,z,y,./images/FALCON.png,,,,,,,,,,,,,,,,,,,,,z,1,0.989,,,,,,,,0,69,69,112,1,
