key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instr_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.748,1,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,BASKET,HB,m,y,./images/BASKETHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.748,,,,,,,,0,35,35,44,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.852,0,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,GARDEN,C,m,y,./images/GARDEN.png,,,,,,,,,,,,,,,,,,,,,z,0,0.852,,,,,,,,0,36,36,10,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,ATTIC,LB,z,y,./images/ATTICLB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.8,,,,,,,,0,37,37,111,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.788,0,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,MIDGET,C,m,y,./images/MIDGET.png,,,,,,,,,,,,,,,,,,,,,z,0,0.788,,,,,,,,0,38,38,76,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.787,1,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,JUNGLE,HB,z,y,./images/JUNGLEHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.787,,,,,,,,0,39,39,167,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.885,1,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,WEASEL,HB,z,y,./images/WEASELHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.885,,,,,,,,0,40,40,164,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.89,1,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,space,,,,,,KITTEN,LB,z,y,./images/KITTENLB.png,1.763,,,,,,,,,,,,,,,,,,,,z,1,0.89,,,,,,,,0,41,41,129,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,1.948,0,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,SNAKE,C,m,y,./images/SNAKE.png,,,,,,,,,,,,,,,,,,,,,z,0,1.948,,,,,,,,0,42,42,40,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.982,0,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,JELLY,C,z,y,./images/JELLY.png,,,,,,,,,,,,,,,,,,,,,m,0,0.982,,,,,,,,0,43,43,148,1
,,,,,,,,,,,,,,,,,5b2eae5577b17f0001c037af,,2022-02-12_17h16.32.316,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.655,0,,,,,,,,,,,,,,,,,,,,,,,,-0.001388889,-0.294444444,0,0,0,,,,,,,HOCKEY,HB,m,y,./images/HOCKEYHB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.655,,,,,,,,0,44,44,32,1
