key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instr_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,1.244,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,STREAM,HB,m,y,./images/STREAMHB.png,,,,,,,,,,,,,,,,,,,,,m,1,1.244,,,,,,,,0,126,126,41,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.626,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,GARDEN,C,m,y,./images/GARDEN.png,,,,,,,,,,,,,,,,,,,,,m,1,0.626,,,,,,,,0,127,127,10,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,1.368,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,PAINT,C,z,y,./images/PAINT.png,,,,,,,,,,,,,,,,,,,,,z,1,1.368,,,,,,,,0,128,128,91,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,1.047,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,KITTEN,LB,z,y,./images/KITTENLB.png,,,,,,,,,,,,,,,,,,,,,z,1,1.047,,,,,,,,0,129,129,129,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.837,0,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,DRILL,LB,m,y,./images/DRILLLB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.837,,,,,,,,0,130,130,81,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.79,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,BAKER,LB,m,y,./images/BAKERLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.79,,,,,,,,0,131,131,63,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.677,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,TWINS,LB,z,y,./images/TWINSLB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.677,,,,,,,,0,132,132,144,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.856,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,CRADLE,HB,z,y,./images/CRADLEHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.856,,,,,,,,0,133,133,104,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.656,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,PISTOL,HB,m,y,./images/PISTOLHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.656,,,,,,,,0,134,134,29,1
,,,,,,,,,,,,,,,,,6108295fdd0270d7544b5a8a,31,2022-02-12_12h37.08.082,lexical_decision_task_DD_L6,2021.2.3,Win32,60.0240096,,,,,,,,,,,0.635,1,,,,,,,,,,,,,,,,,,,,,,,,0.888020833,0.359375,0,0,0,,,,,,,BAMBOO,HB,m,y,./images/BAMBOOHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.635,,,,,,,,0,135,135,5,1
