key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.8799,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,INFANT,C,z,y,./images/INFANT.png,,,,,,,,,,,,,,,,,,,,z,1,0.8799,,,,,,,,0,31,31,160,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.7276,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,POSTER,HB,m,y,./images/POSTERHB.png,,,,,,,,,,,,,,,,,,,,m,1,0.7276,,,,,,,,0,32,32,53,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.5926,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,MIDGET,C,m,y,./images/MIDGET.png,,,,,,,,,,,,,,,,,,,,m,1,0.5926,,,,,,,,0,33,33,76,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.869,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,STAIN,LB,m,y,./images/STAINLB.png,,,,,,,,,,,,,,,,,,,,m,1,0.869,,,,,,,,0,34,34,6,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.6118,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,ARTIST,C,m,y,./images/ARTIST.png,,,,,,,,,,,,,,,,,,,,m,1,0.6118,,,,,,,,0,35,35,61,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.9578,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,DRUMS,C,z,y,./images/DRUMS.png,,,,,,,,,,,,,,,,,,,,z,1,0.9578,,,,,,,,0,36,36,133,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.5951,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,SPINE,HB,m,y,./images/SPINEHB.png,,,,,,,,,,,,,,,,,,,,m,1,0.5951,,,,,,,,0,37,37,65,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,1.4195,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,CANYON,C,z,y,./images/CANYON.png,,,,,,,,,,,,,,,,,,,,z,1,1.4195,,,,,,,,0,38,38,118,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.831,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,BELLY,C,z,y,./images/BELLY.png,,,,,,,,,,,,,,,,,,,,z,1,0.831,,,,,,,,0,39,39,94,1
,,,,,,,,,,,,,,,,,5c054e8a553fb800011917d7,22,2022-02-12_14h05.18.811,lexical_decision_task_DD_L6,2021.2.3,Win32,164.0419948,,,,,,,,,,,0.5266,1,,,,,,,,,,,,,,,,,,,,,,,,,0.033333333,-0.395138889,0,0,0,,,,,,,RAZOR,C,m,y,./images/RAZOR.png,,,,,,,,,,,,,,,,,,,,m,1,0.5266,,,,,,,,0,40,40,34,1
