key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,key_resp.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.9674,1,,,,,,,,,,,,,,,z,1,0.9674,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,95,95,99,1,BACKY,C,old,z,./images/BACKY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6598,1,,,,,,,,,,,,,,,m,1,0.6598,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,96,96,37,1,TIGER,HB,old,m,./images/TIGERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.574,1,,,,,,,,,,,,,,,m,1,0.574,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,97,97,65,1,SPINE,LB,old,m,./images/SPINELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6697,1,,,,,,,,,,,,,,,m,1,0.6697,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,98,98,54,1,CHERRY,C,old,m,./images/CHERRY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6247,1,,,,,,,,,,,,,,,m,1,0.6247,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,99,99,1,1,TOWEL,HB,old,m,./images/TOWELHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.9507,1,,,,,,,,,,,,,,,m,1,0.9507,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,100,100,76,1,MIDGET,HB,old,m,./images/MIDGETHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.9924,1,,,,,,,,,,,,,,,m,1,0.9924,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,101,101,67,1,POKER,HB,old,m,./images/POKERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.6176,1,,,,,,,,,,,,,,,m,1,0.6176,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,102,102,32,1,HOCKEY,LB,old,m,./images/HOCKEYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.7731,1,,,,,,,,,,,,,,,z,1,0.7731,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,103,103,143,1,MONGS,LB,old,z,./images/MONGSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.8336,1,,,,,,,,,,,,,,,z,1,0.8336,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,104,104,165,1,TROWN,C,old,z,./images/TROWN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.7015,1,,,,,,,,,,,,,,,m,1,0.7015,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,105,105,21,1,DANCER,C,old,m,./images/DANCER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,0.5865,1,,,,,,,,,,,,,,,m,1,0.5865,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,106,106,26,1,CLOUD,LB,old,m,./images/CLOUDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60ffbc4214cb2255dd442bc8,25,2022-02-12_14h58.33.325,lexical_decision_task_DD_L4,2021.2.3,Win32,59.71575302,,,,,,,,,,,1.0711,1,,,,,,,,,,,,,,,z,1,1.0711,,,,,,,,0.001707707,-0.404891498,0,0,0,,0,107,107,91,1,SHENS,HB,old,z,./images/SHENSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
