key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instr_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.7586,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,MIDGET,HB,m,y,./images/MIDGETHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.7586,,,,,,,,0,155,155,76,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.6372,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,CASINO,HB,m,y,./images/CASINOHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.6372,,,,,,,,0,156,156,28,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.9205,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,PASTA,LB,z,y,./images/PASTALB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.9205,,,,,,,,0,157,157,89,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.6483,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,WEASEL,LB,z,y,./images/WEASELLB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.6483,,,,,,,,0,158,158,164,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.8277,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,MEDAL,LB,m,y,./images/MEDALLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.8277,,,,,,,,0,159,159,11,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.7916,0,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,CLIFF,LB,m,y,./images/CLIFFLB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.7916,,,,,,,,0,160,160,8,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.8051,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,MOOSE,C,z,y,./images/MOOSE.png,,,,,,,,,,,,,,,,,,,,,z,1,0.8051,,,,,,,,0,161,161,141,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.7136,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,PURSE,LB,z,y,./images/PURSELB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.7136,,,,,,,,0,162,162,146,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.9462,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,PAINT,HB,z,y,./images/PAINTHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.9462,,,,,,,,0,163,163,91,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.7373,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,WHEEL,LB,m,y,./images/WHEELLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.7373,,,,,,,,0,164,164,77,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.6406,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,TRIPOD,C,z,y,./images/TRIPOD.png,,,,,,,,,,,,,,,,,,,,,z,1,0.6406,,,,,,,,0,165,165,138,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,0.604,1,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,DONKEY,HB,m,y,./images/DONKEYHB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.604,,,,,,,,0,166,166,19,1
,,,,,,,,,,,,,,,,,5e38e79295ff561112eae457,36,2022-02-12_15h08.15.494,lexical_decision_task_DD_L4,2021.2.3,Win32,59.93766483,,,,,,,,,,,1.1291,0,,,,,,,,,,,,,,,,,,,,,,,,0.840740741,-0.217592593,0,0,0,,,,,,,BOILER,C,m,y,./images/BOILER.png,,,,,,,,,,,,,,,,,,,,,z,0,1.1291,,,,,,,,0,167,167,36,1
