key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.7744,0,,,,,,,,,,,,,,z,0,0.7744,,,,,,,,0.142592607,-0.395370413,0,0,0,space,0,83,83,122,1,BLOOT,LB,old,n,./images/BLOOTLB.png,1.3387,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.7595,0,,,,,,,,,,,,,,m,0,0.7595,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,84,84,54,1,CHERRY,LB,old,y,./images/CHERRYLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.5917,0,,,,,,,,,,,,,,m,0,0.5917,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,85,85,16,1,GRAPE,C,old,y,./images/GRAPE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.5906,0,,,,,,,,,,,,,,z,0,0.5906,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,86,86,158,1,EGECT,LB,old,n,./images/EGECTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.6197,0,,,,,,,,,,,,,,z,0,0.6197,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,87,87,147,1,ZOLES,C,old,n,./images/ZOLES.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.8884,0,,,,,,,,,,,,,,m,0,0.8884,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,88,88,78,1,BROOM,LB,old,y,./images/BROOMLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.7333,0,,,,,,,,,,,,,,z,0,0.7333,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,89,89,130,1,CRILL,HB,old,n,./images/CRILLHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.8265,0,,,,,,,,,,,,,,z,0,0.8265,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,90,90,148,1,JOMS,HB,old,n,./images/JOMSHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.6998,0,,,,,,,,,,,,,,m,0,0.6998,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,91,91,28,1,CASINO,C,old,y,./images/CASINO.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199384,18,2022-01-25_21h51.52.470,lexical_decision_task_DD_L6,2021.2.3,Win32,59.80861244,,,,,,,,,,,,0.8331,0,,,,,,,,,,,,,,m,0,0.8331,,,,,,,,0.142592607,-0.395370413,0,0,0,,0,92,92,8,1,CLIFF,HB,old,y,./images/CLIFFHB.png,,,,,,,,,,,,,,,,,,,,,,
