key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,key_resp_2.rt,break_done_keyboard.rt,break_done_touch.clicked_name,key_resp.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,0,0.260683761,-0.338675214,1,0,0,1.4258,button_right,1.4258,1,0,13,13,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,0,-0.314102564,-0.333333333,1,0,0,1.3461,button_left,1.3461,1,0,14,14,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,0,0.292735043,-0.333333333,1,0,0,1.2134,button_right,1.2134,1,0,15,15,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.01814301,-0.401814301,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,2.3475,1,,,,,,,,,,,,,,,0,-0.30416222,-0.305763074,1,0,0,2.3475,button_left_main,-0.30416222,-0.305763074,1,0,0,,0,0,0,92,1,PAIMS,LB,old,z,./images/PAIMSLB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,3.5622,1,,,,,,,,,,,,,,,0,-0.305229456,-0.305763074,1,0,0,3.5622,button_left_main,-0.305229456,-0.305763074,1,0,0,,0,1,1,133,1,POWDY,HB,old,z,./images/POWDYHB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.5335,1,,,,,,,,,,,,,,,0,0.3660619,-0.243863394,1,0,0,1.5335,button_right_main,0.3660619,-0.243863394,1,0,0,,0,2,2,81,1,DRILL,HB,old,m,./images/DRILLHB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,2.2004,1,,,,,,,,,,,,,,,0,0.240128068,-0.263073639,1,0,0,2.2004,button_right_main,0.240128068,-0.263073639,1,0,0,,0,3,3,80,1,PLANET,C,old,m,./images/PLANET.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,3.3474,1,,,,,,,,,,,,,,,0,0.227321238,-0.279082177,1,0,0,3.3474,button_right_main,0.227321238,-0.279082177,1,0,0,,0,4,4,42,1,CHAIN,HB,old,m,./images/CHAINHB.png,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.1331,1,,,,,,,,,,,,,,,0,0.227321238,-0.279082177,1,0,0,1.1331,button_right_main,0.227321238,-0.279082177,1,0,0,,0,5,5,59,1,BRUSH,C,old,m,./images/BRUSH.png,,,,,,,,,,,,,,,,,,,,,,,,
