key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.772,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,WALNUT,LB,old,y,./images/WALNUTLB.png,,,,,,,m,0,0.772,,,,,,,,0,61,61,0,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.764,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,MALLET,HB,new,y,./images/MALLETHB.png,,,,,,,z,0,0.764,,,,,,,,0,62,62,134,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.765,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,URINE,C,new,y,./images/URINE.png,,,,,,,z,0,0.765,,,,,,,,0,63,63,154,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.791,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,LADDER,HB,new,y,./images/LADDERHB.png,,,,,,,z,0,0.791,,,,,,,,0,64,64,122,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.865,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,FALCON,C,new,y,./images/FALCON.png,,,,,,,m,0,0.865,,,,,,,,0,65,65,112,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.62,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,RAZOR,C,old,y,./images/RAZOR.png,,,,,,,z,0,0.62,,,,,,,,0,66,66,34,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.84,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,CHAIN,LB,old,y,./images/CHAINLB.png,,,,,,,z,0,0.84,,,,,,,,0,67,67,42,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,1.042,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,GREASE,LB,new,y,./images/GREASELB.png,,,,,,,m,0,1.042,,,,,,,,0,68,68,99,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.648,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,CLOWN,C,old,y,./images/CLOWN.png,,,,,,,m,0,0.648,,,,,,,,0,69,69,22,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.673,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,BARREL,HB,new,y,./images/BARRELHB.png,,,,,,,m,0,0.673,,,,,,,,0,70,70,116,1
