key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.671,1,,,,,,,,,,,,,,,,,,,,,,,,-0.013333333,-0.424444444,0,0,0,,,,,,,SHORE,C,m,m,./images/SHORE.png,,,,,,,,m,1,0.671,,,,,,,,0,35,35,12,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.635,1,,,,,,,,,,,,,,,,,,,,,,,,-0.013333333,-0.424444444,0,0,0,,,,,,,LIZARD,LB,m,m,./images/LIZARDLB.png,,,,,,,,m,1,0.635,,,,,,,,0,36,36,44,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.831,1,,,,,,,,,,,,,,,,,,,,,,,,-0.013333333,-0.424444444,0,0,0,,,,,,,SQUARE,C,m,m,./images/SQUARE.png,,,,,,,,m,1,0.831,,,,,,,,0,37,37,6,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.96,1,,,,,,,,,,,,,,,,,,,,,,,,-0.013333333,-0.424444444,0,0,0,,,,,,,SMOKER,LB,m,m,./images/SMOKERLB.png,,,,,,,,m,1,0.96,,,,,,,,0,38,38,26,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.251,1,,,,,,,,,,,,,,,,,,,,,,,,-0.013333333,-0.424444444,0,0,0,,,,,,,STRING,LB,m,m,./images/STRINGLB.png,,,,,,,,m,1,1.251,,,,,,,,0,39,39,41,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.946,1,,,,,,,,,,,,,,,,,,,,,,,,-0.013333333,-0.424444444,0,0,0,,,,,,,BUTTER,C,z,m,./images/BUTTER.png,,,,,,,,z,1,1.946,,,,,,,,0,40,40,111,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.902,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,space,,,,,,BUNNY,HB,z,m,./images/BUNNYHB.png,2,,,,,,,z,1,0.902,,,,,,,,0,41,41,97,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.779,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,WRIST,HB,m,m,./images/WRISTHB.png,,,,,,,,m,1,0.779,,,,,,,,0,42,42,25,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.762,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,SAUNA,C,z,m,./images/SAUNA.png,,,,,,,,z,1,0.762,,,,,,,,0,43,43,117,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.229,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,MAMMAL,LB,z,m,./images/MAMMALLB.png,,,,,,,,z,1,1.229,,,,,,,,0,44,44,146,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.916,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,KIDNEY,C,m,m,./images/KIDNEY.png,,,,,,,,m,1,0.916,,,,,,,,0,45,45,21,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.047,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,CHAIN,C,z,m,./images/CHAIN.png,,,,,,,,z,1,1.047,,,,,,,,0,46,46,126,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.596,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,JAGUAR,C,m,m,./images/JAGUAR.png,,,,,,,,m,1,0.596,,,,,,,,0,47,47,18,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.744,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,GRANNY,LB,z,m,./images/GRANNYLB.png,,,,,,,,z,1,0.744,,,,,,,,0,48,48,104,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.898,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,WHEEL,LB,z,m,./images/WHEELLB.png,,,,,,,,z,1,0.898,,,,,,,,0,49,49,161,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.81,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,BRIDE,HB,z,m,./images/BRIDEHB.png,,,,,,,,z,1,0.81,,,,,,,,0,50,50,148,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.017,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,CLOWN,HB,z,m,./images/CLOWNHB.png,,,,,,,,z,1,1.017,,,,,,,,0,51,51,106,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.844,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,MUSCLE,HB,m,m,./images/MUSCLEHB.png,,,,,,,,m,1,0.844,,,,,,,,0,52,52,4,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.364,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,BUBBLE,LB,z,m,./images/BUBBLELB.png,,,,,,,,m,0,1.364,,,,,,,,0,53,53,155,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.681,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,TULIP,LB,m,m,./images/TULIPLB.png,,,,,,,,m,1,0.681,,,,,,,,0,54,54,8,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.865,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,BABOON,HB,m,m,./images/BABOONHB.png,,,,,,,,m,1,0.865,,,,,,,,0,55,55,58,1
