key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
space,20.5096,0.040439724,-0.382227308,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). 
Press the space bar or touch  continue.",0,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00664605,-0.378693509,1,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.007964478,-0.378166097,1,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,13.6137,0.007964478,-0.378166097,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,1.2046,,,,,,,,1.2046,1,0,0,0,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.6806,,,,,,,,0.6806,1,0,1,1,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,0,1.0697,,,,,,,,1.0697,0,0,2,2,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,0,1.1434,,,,,,,,1.1434,0,0,3,3,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.5751,,,,,,,,0.5751,1,0,4,4,7,1,1001,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.7102,,,,,,,,0.7102,1,0,5,5,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.7912,,,,,,,,0.7912,1,0,6,6,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,1.0015,,,,,,,,1.0015,1,0,7,7,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.9859,,,,,,,,0.9859,1,0,8,8,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.8096,,,,,,,,0.8096,1,0,9,9,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.9681,,,,,,,,0.9681,1,0,10,10,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,z,1,0.9423,,,,,,,,0.9423,1,0,11,11,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.7155,,,,,,,,0.7155,1,0,12,12,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.7808,,,,,,,,0.7808,1,0,13,13,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.7217,,,,,,,,0.7217,1,0,14,14,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,m,1,0.8854,,,,,,,,0.8854,1,0,15,15,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,13.2295,-0.023843859,-0.467492472,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.013,1,,,,,,,,,,,,,,m,1,1.013,,,,,,,,-0.023843859,-0.467492472,0,0,0,,0,0,0,14,1,PICKLE,C,old,m,./images/PICKLE.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.9776,1,,,,,,,,,,,,,,z,1,0.9776,,,,,,,,-0.023843859,-0.467492472,0,0,0,,0,1,1,101,1,GLEET,LB,old,z,./images/GLEETLB.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.6179,1,,,,,,,,,,,,,,z,1,1.6179,,,,,,,,-0.023843859,-0.467492472,0,0,0,,0,2,2,163,1,GAMBA,HB,old,z,./images/GAMBAHB.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,200098,19,2022-01-28_16h27.13.996,lexical_decision_task_DD_L2,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.9059,1,,,,,,,,,,,,,,z,1,0.9059,,,,,,,,-0.023843859,-0.467492472,0,0,0,,0,3,3,99,1,BACKY,C,old,z,./images/BACKY.png,,,,,,,,,,,,,,,,,,,,,
