key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,instr_done_touch.clicked_name,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.7124,1,,,,,,,,,,,,,,,,,,,,,,,,-0.089814803,0.207407403,0,0,0,,,,,,,LADDER,LB,m,m,./images/LADDERLB.png,,,,,,,,,m,1,0.7124,,,,,,,,0,137,137,38,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.7685,1,,,,,,,,,,,,,,,,,,,,,,,,-0.089814803,0.207407403,0,0,0,,,,,,,DANCER,C,z,m,./images/DANCER.png,,,,,,,,,z,1,0.7685,,,,,,,,0,138,138,105,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,1.0965,1,,,,,,,,,,,,,,,,,,,,,,,,-0.089814803,0.207407403,0,0,0,,,,,,,GRAIN,C,m,m,./images/GRAIN.png,,,,,,,,,m,1,1.0965,,,,,,,,0,139,139,75,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.9086,1,,,,,,,,,,,,,,,,,,,,,,,,-0.089814803,0.207407403,0,0,0,,,,,,,FLESH,C,z,m,./images/FLESH.png,,,,,,,,,z,1,0.9086,,,,,,,,0,140,140,108,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,1.5694,0,,,,,,,,,,,,,,,,,,,,,,,,-0.089814803,0.207407403,0,0,0,,,,,,,BABOON,HB,m,m,./images/BABOONHB.png,,,,,,,,,z,0,1.5694,,,,,,,,0,141,141,58,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,1.9811,0,,,,,,,,,,,,,,,,,,,,,,,,-0.077777766,0.22407407,0,0,0,,,,,,,STORM,C,m,m,./images/STORM.png,,,,,,,,,z,0,1.9811,,,,,,,,0,142,142,30,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,2.0043,0,,,,,,,,,,,,,,,,,,,,,,,,-0.077777766,0.22407407,0,0,0,,,,,,,PARADE,LB,z,m,./images/PARADELB.png,,,,,,,,,m,0,2.0043,,,,,,,,0,143,143,101,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.7006,0,,,,,,,,,,,,,,,,,,,,,,,,-0.065740728,0.224999996,0,0,0,,,,,,,STOVE,LB,z,m,./images/STOVELB.png,,,,,,,,,m,0,0.7006,,,,,,,,0,144,144,86,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.6296,1,,,,,,,,,,,,,,,,,,,,,,,,-0.065740728,0.224999996,0,0,0,,,,,,,PEARL,HB,m,m,./images/PEARLHB.png,,,,,,,,,m,1,0.6296,,,,,,,,0,145,145,46,1
,,,,,,,,,,,,,,,,,199309,18,2022-02-01_14h14.58.374,lexical_decision_task_DD,2021.2.3,Win32,61.15459883,,,,,,,,,,,0.6986,1,,,,,,,,,,,,,,,,,,,,,,,,-0.065740728,0.224999996,0,0,0,,,,,,,MELON,HB,m,m,./images/MELONHB.png,,,,,,,,,m,1,0.6986,,,,,,,,0,146,146,22,1
