key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.622,1,,,,,,,,,,,,,,,z,1,0.622,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,159,159,144,1,NAIRY,C,old,z,./images/NAIRY.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,1.581,1,,,,,,,,,,,,,,,z,1,1.581,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,160,160,135,1,JOODY,C,old,z,./images/JOODY.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.677,1,,,,,,,,,,,,,,,m,1,0.677,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,161,161,0,1,TOMATO,HB,old,m,./images/TOMATOHB.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.928,1,,,,,,,,,,,,,,,z,1,0.928,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,162,162,117,1,STEEG,C,old,z,./images/STEEG.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.533,1,,,,,,,,,,,,,,,m,1,0.533,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,163,163,28,1,FALCON,LB,old,m,./images/FALCONLB.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,1.604,1,,,,,,,,,,,,,,,z,1,1.604,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,164,164,148,1,JOMS,HB,old,z,./images/JOMSHB.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.597,1,,,,,,,,,,,,,,,m,1,0.597,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,165,165,10,1,BELLY,LB,old,m,./images/BELLYLB.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.73,1,,,,,,,,,,,,,,,z,1,0.73,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,166,166,122,1,BLOOT,LB,old,z,./images/BLOOTLB.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.679,1,,,,,,,,,,,,,,,z,1,0.679,,,,,,,,-0.034444444,-0.398888889,0,0,0,,0,167,167,93,1,SMONE,C,old,z,./images/SMONE.png,,,,,,,,,,,,,,,,,,,,,
space,14.405,-0.034444444,-0.398888889,0,0,0,,,,,,1,test,"In the next phase you will be presented with the words from the the first phase. Your job is to decide whether you remember seeing the word or not. If you remember seeing the word press ""old"" or type ""m"". If you do not remember seeing the word press ""new"" or type ""z"". Please press the space bar or click on continue to begin. ",,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,
,,-0.034444444,-0.398888889,1,0,0,,,,,,1,test,"In the next phase you will be presented with the words from the the first phase. Your job is to decide whether you remember seeing the word or not. If you remember seeing the word press ""old"" or type ""m"". If you do not remember seeing the word press ""new"" or type ""z"". Please press the space bar or click on continue to begin. ",,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,
,,-0.034444444,-0.398888889,1,0,0,,,,,,1,test,"In the next phase you will be presented with the words from the the first phase. Your job is to decide whether you remember seeing the word or not. If you remember seeing the word press ""old"" or type ""m"". If you do not remember seeing the word press ""new"" or type ""z"". Please press the space bar or click on continue to begin. ",,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,
,,-0.003333333,-0.392222222,1,0,0,,,,,,1,test,"In the next phase you will be presented with the words from the the first phase. Your job is to decide whether you remember seeing the word or not. If you remember seeing the word press ""old"" or type ""m"". If you do not remember seeing the word press ""new"" or type ""z"". Please press the space bar or click on continue to begin. ",,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,
,,0.011111111,-0.397777778,1,0,0,,,,,,1,test,"In the next phase you will be presented with the words from the the first phase. Your job is to decide whether you remember seeing the word or not. If you remember seeing the word press ""old"" or type ""m"". If you do not remember seeing the word press ""new"" or type ""z"". Please press the space bar or click on continue to begin. ",,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,3.587,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,BUTTER,HB,z,y,./images/BUTTERHB.png,,,,,,,z,1,3.587,,,,,,,,0,0,0,111,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,1.309,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,STREAM,C,z,y,./images/STREAM.png,,,,,,,z,1,1.309,,,,,,,,0,1,1,125,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,1.094,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,SAUNA,HB,z,y,./images/SAUNAHB.png,,,,,,,z,1,1.094,,,,,,,,0,2,2,117,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,1.395,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,RAZOR,LB,z,y,./images/RAZORLB.png,,,,,,,z,1,1.395,,,,,,,,0,3,3,118,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,1.866,0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,BLOKE,HB,z,y,./images/BLOKEHB.png,,,,,,,m,0,1.866,,,,,,,,0,4,4,96,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.861,0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,DESERT,LB,z,y,./images/DESERTLB.png,,,,,,,m,0,0.861,,,,,,,,0,5,5,136,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,1.528,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,CANOE,LB,z,y,./images/CANOELB.png,,,,,,,z,1,1.528,,,,,,,,0,6,6,142,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.822,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,PLANET,C,z,y,./images/PLANET.png,,,,,,,z,1,0.822,,,,,,,,0,7,7,164,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.897,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,DIVER,HB,z,y,./images/DIVERHB.png,,,,,,,z,1,0.897,,,,,,,,0,8,8,93,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.579,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,SQUARE,HB,m,y,./images/SQUAREHB.png,,,,,,,m,1,0.579,,,,,,,,0,9,9,6,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.668,0,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,BUBBLE,C,z,y,./images/BUBBLE.png,,,,,,,m,0,0.668,,,,,,,,0,10,10,155,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.798,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,TOWEL,LB,z,y,./images/TOWELLB.png,,,,,,,z,1,0.798,,,,,,,,0,11,11,85,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.843,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,INFANT,LB,m,y,./images/INFANTLB.png,,,,,,,m,1,0.843,,,,,,,,0,12,12,76,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.762,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,CHERRY,HB,z,y,./images/CHERRYHB.png,,,,,,,z,1,0.762,,,,,,,,0,13,13,138,1
,,,,,,,,,,,,,,,,,198913,18,2022-01-28_17h54.52.765,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,0.696,1,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,-0.398888889,0,0,0,,,,,,,BONNET,C,m,y,./images/BONNET.png,,,,,,,m,1,0.696,,,,,,,,0,14,14,11,1
