key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,0.126074354,-0.385397407,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). 
Press the space bar or touch  continue.",0,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.126074354,-0.385952962,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,7.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.126074354,-0.385952962,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,7.1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.126074354,-0.385952962,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,2.3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,1.3358,,,,,,,,1.3358,1,0,0,0,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,1.4565,,,,,,,,1.4565,1,0,1,1,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,1.281,,,,,,,,1.281,1,0,2,2,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,0.8356,,,,,,,,0.8356,1,0,3,3,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,0.8109,,,,,,,,0.8109,1,0,4,4,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,0.8439,,,,,,,,0.8439,1,0,5,5,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,0.6212,,,,,,,,0.6212,1,0,6,6,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,z,1,0.9537,,,,,,,,0.9537,1,0,7,7,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,z,1,0.8746,,,,,,,,0.8746,1,0,8,8,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,0,1.41,,,,,,,,1.41,0,0,9,9,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,m,1,0.8055,,,,,,,,0.8055,1,0,10,10,7,1,1001,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,z,1,0.7636,,,,,,,,0.7636,1,0,11,11,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,z,1,1.3472,,,,,,,,1.3472,1,0,12,12,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,z,1,0.8476,,,,,,,,0.8476,1,0,13,13,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,z,1,0.8893,,,,,,,,0.8893,1,0,14,14,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,z,1,0.8427,,,,,,,,0.8427,1,0,15,15,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.136370985,-0.391550429,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,6.1919,1,,,,,,,,,,,,,,m,1,6.1919,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,0,0,3,1,CRATER,HB,old,m,./images/CRATERHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.1262,1,,,,,,,,,,,,,,z,1,1.1262,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,1,1,167,1,ZONET,LB,old,z,./images/ZONETLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.967,1,,,,,,,,,,,,,,m,1,0.967,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,2,2,50,1,PILOT,C,old,m,./images/PILOT.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.7538,1,,,,,,,,,,,,,,z,1,1.7538,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,3,3,148,1,JOMS,HB,old,z,./images/JOMSHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.841,1,,,,,,,,,,,,,,z,1,1.841,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,4,4,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,2.9361,0,,,,,,,,,,,,,,m,0,2.9361,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,5,5,163,1,GAMBA,HB,old,z,./images/GAMBAHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.7379,1,,,,,,,,,,,,,,z,1,0.7379,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,6,6,126,1,GUELS,C,old,z,./images/GUELS.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.1773,1,,,,,,,,,,,,,,z,1,1.1773,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,7,7,157,1,INLER,HB,old,z,./images/INLERHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.6266,1,,,,,,,,,,,,,,z,1,1.6266,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,8,8,88,1,GLUSH,HB,old,z,./images/GLUSHHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.5379,1,,,,,,,,,,,,,,z,1,1.5379,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,9,9,146,1,MOOST,LB,old,z,./images/MOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,2.4436,1,,,,,,,,,,,,,,z,1,2.4436,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,10,10,154,1,THINT,HB,old,z,./images/THINTHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8831,1,,,,,,,,,,,,,,m,1,0.8831,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,11,11,78,1,BROOM,HB,old,m,./images/BROOMHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8867,1,,,,,,,,,,,,,,m,1,0.8867,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,12,12,6,1,STAIN,HB,old,m,./images/STAINHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.9847,1,,,,,,,,,,,,,,z,1,0.9847,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,13,13,103,1,FLORT,HB,old,z,./images/FLORTHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8529,1,,,,,,,,,,,,,,m,1,0.8529,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,14,14,37,1,TIGER,LB,old,m,./images/TIGERLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.6692,1,,,,,,,,,,,,,,m,1,0.6692,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,15,15,49,1,BISHOP,LB,old,m,./images/BISHOPLB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.5691,1,,,,,,,,,,,,,,m,1,0.5691,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,16,16,11,1,MEDAL,C,old,m,./images/MEDAL.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.8579,1,,,,,,,,,,,,,,z,1,0.8579,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,17,17,123,1,SEDGE,C,old,z,./images/SEDGE.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,1.5511,1,,,,,,,,,,,,,,m,1,1.5511,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,18,18,39,1,CANDY,HB,old,m,./images/CANDYHB.png,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,198766,18,2022-01-28_17h17.22.146,lexical_decision_task_DD_L5,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,0.6142,1,,,,,,,,,,,,,,m,1,0.6142,,,,,,,,0.136370985,-0.391550429,0,0,0,,0,19,19,34,1,RAZOR,LB,old,m,./images/RAZORLB.png,,,,,,,,,,,,,,,,,,,,,,
