key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,0.122222222,-0.384444444,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). 
Press the space bar or touch  continue.",0,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.177777778,-0.246666667,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,93.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.167777778,-0.217777778,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,15.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.167777778,-0.217777778,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,16.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,1,0.778,,,,,,,,0.778,1,0,0,0,15,1,1001,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,1,0.629,,,,,,,,0.629,1,0,1,1,5,1,1001,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,1,0.764,,,,,,,,0.764,1,0,2,2,0,1,1001,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,1,0.796,,,,,,,,0.796,1,0,3,3,13,1,1001,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,1,0.67,,,,,,,,0.67,1,0,4,4,14,1,1001,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,1,0.55,,,,,,,,0.55,1,0,5,5,7,1,1001,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,1,0.753,,,,,,,,0.753,1,0,6,6,10,1,1001,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,1,0.58,,,,,,,,0.58,1,0,7,7,8,1,1001,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,1,0.562,,,,,,,,0.562,1,0,8,8,6,1,1001,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,0,0.888,,,,,,,,0.888,0,0,9,9,12,1,1001,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,1,2.18,,,,,,,,2.18,1,0,10,10,9,1,1001,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,1,0.749,,,,,,,,0.749,1,0,11,11,3,1,1001,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,1,0.533,,,,,,,,0.533,1,0,12,12,1,1,1001,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,1,0.499,,,,,,,,0.499,1,0,13,13,11,1,1001,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,m,1,0.477,,,,,,,,0.477,1,0,14,14,2,1,1001,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,z,0,0.546,,,,,,,,0.546,0,0,15,15,4,1,1001,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.062222222,-0.4,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,199555,18,2022-01-28_15h59.58.447,lexical_decision_task_DD_L5,2021.2.3,MacIntel,66.66666667,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
