key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5652,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,BIRTH,C,z,y,./images/BIRTH.png,,,,,,,z,1,0.5652,,,,,,,,0,132,132,121,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7405,0,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,TWINS,LB,z,y,./images/TWINSLB.png,,,,,,,m,0,0.7405,,,,,,,,0,133,133,144,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.9561,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,CRADLE,HB,z,y,./images/CRADLEHB.png,,,,,,,z,1,0.9561,,,,,,,,0,134,134,104,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7826,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,STOVE,HB,m,y,./images/STOVEHB.png,,,,,,,m,1,0.7826,,,,,,,,0,135,135,2,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7584,0,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,JELLY,C,z,y,./images/JELLY.png,,,,,,,m,0,0.7584,,,,,,,,0,136,136,148,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8824,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,SAUCE,LB,m,y,./images/SAUCELB.png,,,,,,,m,1,0.8824,,,,,,,,0,137,137,51,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5817,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,JUNGLE,HB,z,y,./images/JUNGLEHB.png,,,,,,,z,1,0.5817,,,,,,,,0,138,138,167,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.8472,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,TOMATO,LB,z,y,./images/TOMATOLB.png,,,,,,,z,1,0.8472,,,,,,,,0,139,139,84,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.1158,0,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,DRUMS,C,z,y,./images/DRUMS.png,,,,,,,m,0,1.1158,,,,,,,,0,140,140,133,1
,,,,,,,,,,,,,,,,,200086,19,2022-01-28_23h08.54.027,lexical_decision_task_DD_L6,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.2824,1,,,,,,,,,,,,,,,,,,,,,,,,0.799978299,-0.284769965,0,0,0,,,,,,,MAMMAL,HB,m,y,./images/MAMMALHB.png,,,,,,,m,1,1.2824,,,,,,,,0,141,141,62,1
