key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.9883,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,POKER,LB,m,y,./images/POKERLB.png,,,,,,,,m,1,0.9883,,,,,,,,0,140,140,67,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5375,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,BERRY,C,z,y,./images/BERRY.png,,,,,,,,m,0,0.5375,,,,,,,,0,141,141,131,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.1971,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,WAGON,LB,m,y,./images/WAGONLB.png,,,,,,,,z,0,1.1971,,,,,,,,0,142,142,7,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.3514,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,STATUE,HB,m,y,./images/STATUEHB.png,,,,,,,,m,1,1.3514,,,,,,,,0,143,143,66,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.0898,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,INFANT,LB,z,y,./images/INFANTLB.png,,,,,,,,z,1,1.0898,,,,,,,,0,144,144,160,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.7738,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,SQUARE,HB,z,y,./images/SQUAREHB.png,,,,,,,,z,1,1.7738,,,,,,,,0,145,145,90,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,3.0874,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,MUFFIN,LB,z,y,./images/MUFFINLB.png,,,,,,,,z,1,3.0874,,,,,,,,0,146,146,139,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,2.1182,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,PEBBLE,LB,m,y,./images/PEBBLELB.png,,,,,,,,m,1,2.1182,,,,,,,,0,147,147,82,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,4.4043,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,SCREW,HB,z,y,./images/SCREWHB.png,,,,,,,,m,0,4.4043,,,,,,,,0,148,148,108,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.5421,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,SNAKE,LB,m,y,./images/SNAKELB.png,,,,,,,,z,0,1.5421,,,,,,,,0,149,149,40,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.0987,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,JUNGLE,C,z,y,./images/JUNGLE.png,,,,,,,,m,0,1.0987,,,,,,,,0,150,150,167,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,2.9575,1,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,ENGINE,C,m,y,./images/ENGINE.png,,,,,,,,m,1,2.9575,,,,,,,,0,151,151,38,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.0503,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,GRAIN,HB,z,y,./images/GRAINHB.png,,,,,,,,m,0,1.0503,,,,,,,,0,152,152,159,1,
,,,,,,,,,,,,,,,,,199540,19,2022-01-28_17h28.58.359,lexical_decision_task_DD_L5,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.6017,0,,,,,,,,,,,,,,,,,,,,,,,,0.057829861,-0.425499132,0,0,0,,,,,,,DRUMS,LB,z,y,./images/DRUMSLB.png,,,,,,,,m,0,1.6017,,,,,,,,0,153,153,133,1,
