key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.513,1,,,,,,,,,,,,,,,,,,,,,,,,-0.352222222,-0.343333333,1,0,0,,,,,,,STEAK,LB,z,y,./images/STEAKLB.png,,,,,,,,0,-0.352222222,-0.343333333,1,0,0,1.513,button_left_test,0,35,35,115,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.263,0,,,,,,,,,,,,,,,,,,,,,,,,0.297777778,-0.311111111,1,0,0,,,,,,,CHAIN,HB,z,y,./images/CHAINHB.png,,,,,,,,0,0.297777778,-0.311111111,1,0,0,1.263,button_right_test,0,36,36,126,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.113,1,,,,,,,,,,,,,,,,,,,,,,,,-0.26,-0.264444444,1,0,0,,,,,,,BAMBOO,C,z,y,./images/BAMBOO.png,,,,,,,,0,-0.26,-0.264444444,1,0,0,1.113,button_left_test,0,37,37,89,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.946,0,,,,,,,,,,,,,,,,,,,,,,,,-0.356666667,-0.293333333,1,0,0,,,,,,,FALCON,LB,m,y,./images/FALCONLB.png,,,,,,,,0,-0.356666667,-0.293333333,1,0,0,0.946,button_left_test,0,38,38,28,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.831,0,,,,,,,,,,,,,,,,,,,,,,,,-0.356666667,-0.293333333,1,0,0,,,,,,,BURIAL,C,m,y,./images/BURIAL.png,,,,,,,,0,-0.356666667,-0.293333333,1,0,0,0.831,button_left_test,0,39,39,59,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.346,0,,,,,,,,,,,,,,,,,,,,,,,,0.27,-0.325555556,1,0,0,,,,,,,PILOT,C,z,y,./images/PILOT.png,,,,,,,,0,0.27,-0.325555556,1,0,0,1.346,button_right_test,0,40,40,134,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.165,0,,,,,,,,,,,,,,,,,,,,,,,,0.195555556,-0.307777778,0,0,0,space,,,,,,MIDGET,LB,z,y,./images/MIDGETLB.png,0.997,,,,,,,0,0.271111111,-0.312222222,1,0,0,1.165,button_right_test,0,41,41,160,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.981,1,,,,,,,,,,,,,,,,,,,,,,,,-0.273333333,-0.251111111,1,0,0,,,,,,,TOWEL,LB,z,y,./images/TOWELLB.png,,,,,,,,0,-0.273333333,-0.251111111,1,0,0,1.981,button_left_test,0,42,42,85,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.648,1,,,,,,,,,,,,,,,,,,,,,,,,-0.273333333,-0.251111111,1,0,0,,,,,,,SLOPE,HB,z,y,./images/SLOPEHB.png,,,,,,,,0,-0.273333333,-0.251111111,1,0,0,0.648,button_left_test,0,43,43,114,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.947,0,,,,,,,,,,,,,,,,,,,,,,,,-0.273333333,-0.251111111,1,0,0,,,,,,,TULIP,C,m,y,./images/TULIP.png,,,,,,,,0,-0.273333333,-0.251111111,1,0,0,0.947,button_left_test,0,44,44,8,1,
