key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5993,1,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,space,,,,,,HEATER,LB,z,m,./images/HEATERLB.png,21.5729,,,,,,z,1,0.5993,,,,,,,,0,83,83,140,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7483,1,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,BANANA,HB,z,m,./images/BANANAHB.png,,,,,,,z,1,0.7483,,,,,,,,0,84,84,154,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.1546,0,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,STORM,C,m,m,./images/STORM.png,,,,,,,z,0,1.1546,,,,,,,,0,85,85,30,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6215,0,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,PACKET,LB,m,m,./images/PACKETLB.png,,,,,,,z,0,0.6215,,,,,,,,0,86,86,56,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.782,1,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,CLOWN,HB,z,m,./images/CLOWNHB.png,,,,,,,z,1,0.782,,,,,,,,0,87,87,106,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6307,1,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,MUSCLE,HB,m,m,./images/MUSCLEHB.png,,,,,,,m,1,0.6307,,,,,,,,0,88,88,4,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7349,1,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,DIVER,C,z,m,./images/DIVER.png,,,,,,,z,1,0.7349,,,,,,,,0,89,89,93,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6045,1,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,PEARL,HB,m,m,./images/PEARLHB.png,,,,,,,m,1,0.6045,,,,,,,,0,90,90,46,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5957,1,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,MOSQUE,HB,m,m,./images/MOSQUEHB.png,,,,,,,m,1,0.5957,,,,,,,,0,91,91,43,1
,,,,,,,,,,,,,,,,,199228,18,2022-01-28_15h56.52.010,lexical_decision_task_DD,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.639,0,,,,,,,,,,,,,,,,,,,,,,,,-0.266544663,-0.076493178,0,0,0,,,,,,,CLOTH,LB,z,m,./images/CLOTHLB.png,,,,,,,m,0,0.639,,,,,,,,0,92,92,107,1
