key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.0865,1,,,,,,,,,,,,,,z,1,1.0865,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,103,103,97,1,CHIDS,HB,old,z,./images/CHIDSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.5724,1,,,,,,,,,,,,,,m,1,0.5724,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,104,104,1,1,TOWEL,LB,old,m,./images/TOWELLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7082,1,,,,,,,,,,,,,,z,1,0.7082,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,105,105,91,1,SHENS,HB,old,z,./images/SHENSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.8902,1,,,,,,,,,,,,,,z,1,0.8902,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,106,106,144,1,NAIRY,C,old,z,./images/NAIRY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7094,1,,,,,,,,,,,,,,m,1,0.7094,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,107,107,37,1,TIGER,LB,old,m,./images/TIGERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.6766,1,,,,,,,,,,,,,,m,1,0.6766,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,108,108,46,1,MUMMY,LB,old,m,./images/MUMMYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.6282,1,,,,,,,,,,,,,,m,1,0.6282,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,109,109,7,1,WAGON,LB,old,m,./images/WAGONLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7954,1,,,,,,,,,,,,,,z,1,0.7954,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,110,110,155,1,CANGY,LB,old,z,./images/CANGYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7522,1,,,,,,,,,,,,,,z,1,0.7522,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,111,111,113,1,LINEW,LB,old,z,./images/LINEWLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.0262,1,,,,,,,,,,,,,,z,1,1.0262,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,112,112,107,1,FASKS,LB,old,z,./images/FASKSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
