key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instr_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,0.8118,1,,,,,,,,,,,,,,m,1,0.8118,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,75,75,28,1,FALCON,HB,old,m,./images/FALCONHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,1.153,1,,,,,,,,,,,,,,z,1,1.153,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,76,76,129,1,PRANS,C,old,z,./images/PRANS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,1.0741,0,,,,,,,,,,,,,,m,0,1.0741,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,77,77,144,1,NAIRY,C,old,z,./images/NAIRY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,1.1002,1,,,,,,,,,,,,,,z,1,1.1002,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,78,78,150,1,NOOLS,C,old,z,./images/NOOLS.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,1.3118,1,,,,,,,,,,,,,,z,1,1.3118,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,79,79,165,1,TROWN,C,old,z,./images/TROWN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,1.1113,1,,,,,,,,,,,,,,z,1,1.1113,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,80,80,85,1,CHULK,HB,old,z,./images/CHULKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,0.7914,1,,,,,,,,,,,,,,z,1,0.7914,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,81,81,156,1,HIXES,C,old,z,./images/HIXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,0.7192,1,,,,,,,,,,,,,,m,1,0.7192,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,82,82,20,1,CRADLE,LB,old,m,./images/CRADLELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,0.7156,1,,,,,,,,,,,,,,m,1,0.7156,,,,,,,,0.321661256,-0.29869708,0,0,0,space,0,83,83,39,1,SHELF,C,old,m,./images/SHELF.png,6.4957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5fb3224238ecb8a40fdd1685,44,2022-02-12_16h45.01.720,lexical_decision_task_DD,2021.2.3,Win32,60.09976561,,,,,,,,,,,0.8301,1,,,,,,,,,,,,,,m,1,0.8301,,,,,,,,0.321661256,-0.29869708,0,0,0,,0,84,84,50,1,MALLET,LB,old,m,./images/MALLETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
